🗓️ วันที่/สถานที่(พินอิน),โซน,สถานที่ (พิกัดจีน/คำอ่าน),รายละเอียด,การเดินทาง (จากโรงแรม),แนะนำ (Must/Try/IF)
21 พ.ย. (ศุกร์),,Chongqing Jiangbei International Airport (重庆江北国际机场 - Chóngqìng Jiāngběi Guójì Jīchăng) → เช็คอิน,,Airport Express + Didi/Metro,-
21 พ.ย. (ศุกร์),Shapingba District,Ciqikou Ancient Town (磁器口古镇 - Cíqìkŏu Gŭzhèn),เมืองโบราณ: ถ่ายภาพตรอกซอกซอยและบ้านไม้โบราณ มีโรงน้ำชาท้องถิ่นหลายแห่งในย่านนี้ (เน้นบรรยากาศย้อนยุค),Metro Line 1 (สถานี Ciqikou),Must (Shopping)
21 พ.ย. (ศุกร์),Yuzhong (Central),Hongya Cave (洪崖洞 - Hóngyádòng) - หงหยาตง มื้อเย็น/ชมวิวกลางคืน,สถาปัตยกรรมยามค่ำคืน: ถ่ายภาพอาคารรูปทรงคล้ายโรงอาบน้ำ (มุมถ่ายภาพยอดนิยมคือฝั่งตรงข้ามแม่น้ำ/ถนนด้านล่าง),Metro Line 1/6 (สถานี Xiaoshizi) หรือ Didi,Must (Photo Spot/Dinner)
,,,,,
22 พ.ย. (เสาร์),Yuzhong (West),Liziba Station (李子坝站 - Lǐzǐbà Zhàn) (จุดถ่ายภาพรถไฟลอดตึก),รถไฟฟ้าลอดตึก: มุมถ่ายภาพรถไฟฟ้าโมโนเรลสาย 2 ที่วิ่งผ่านอาคาร,เดินลงจาก Eling Park หรือ Metro Line 2,Try (Photo Spot)
22 พ.ย. (เสาร์),Yuzhong (West),"คาเฟ่: MPJ Tea, Three-Layer Road Branch",สามารถนั่งจิบชาหรือกาแฟในบรรยากาศสบายๆ ทั้งในร่มและกลางแจ้ง พร้อมชมวิวรถไฟรางเบาสาย 2 (Light Rail Line 2) ที่วิ่งผ่านไปอย่างใกล้ชิด ทำให้เป็นจุดถ่ายรูปยอดนิยม,สถานีรถไฟใต้ดินที่ใกล้ที่สุดคือ Fotuguan Station (佛图关站) บนรถไฟรางเบาสาย 2 ใช้ ทางออก 1 (Exit 1) แล้วเดินตรงไปประมาณ 250 เมตรก็จะถึงร้าน,Try (Cafe/View)
22 พ.ย. (เสาร์),Yuzhong (West),Eling Park (鹅岭公园 - Élíng Gōngyuán) (จุดชมวิว),วิวพาโนรามา: มองเห็นวิวเมืองฉงชิ่งได้ 2 ฝั่งแม่น้ำ,Metro Line 1 (สถานี Eling),Must
22 พ.ย. (เสาร์),Yuzhong (West),คาเฟ่: Lao Quancun Teahouse (老泉村茶馆 - Lǎo Quáncūn Cháguăn),คาเฟ่/โรงน้ำชาที่มีวิวสวยงามภายในสวน,เดินในสวน,Try (Cafe/View)
22 พ.ย. (เสาร์),Yuzhong (West),Eling No.2 Factory (鹅岭二厂文创公园 - Élíng Èrchăng Wénchuàng Gōngyuán),"โรงพิมพ์เก่า: ตึกเก่าสไตล์วินเทจ, ผนังอิฐ, และภาพวาดกราฟฟิตี้",ขึ้นรถไฟฟ้าสาย 2 (Monorail) ไปทาง Tiantangbao ออกทางออกที่เหมาะสม (Exit 1 หรือ 2) จากสถานี เดินต่อไปยัง Eling Park และ Eling No.2 Factory (ประมาณ 10-15 นาที),Try (Photo Spot)
22 พ.ย. (เสาร์),Yuzhong (West),คาเฟ่: Lazy Fish Time Museum (懒鱼时馆 - Lăn Yú Shíguăn),คาเฟ่ชื่อดังของย่านนี้ (ตึก 33) ที่มีบรรยากาศศิลปะและเป็นจุดถ่ายภาพ,,Try (Cafe/View)
